caseid,age,if_discrim,if_cyber_bullying,if_drugs,if_drink,if_school_attandence,if_mental_healthy,working_hour_weekly,number_relative_friends
363,1,0,NA,0,5,1,2,NA,6
364,6,0,NA,0,5,0,1,NA,10
365,4,0,NA,0,7,0,1,35,2
366,5,0,NA,0,1,0,2,35,10
367,3,0,NA,0,4,0,2,40,24
368,1,1,NA,1,4,1,1,4,0
369,5,0,NA,0,6,0,4,NA,4
370,5,0,NA,0,2,0,1,40,15
371,5,0,NA,0,5,0,2,NA,9
372,5,0,NA,0,7,0,3,NA,40
373,6,1,NA,0,1,0,3,NA,2
374,4,0,NA,0,7,0,3,NA,6
375,3,NA,NA,NA,5,0,1,33,10
376,1,0,NA,0,6,0,2,35,5
377,3,0,NA,0,5,0,2,37.5,NA
378,3,0,NA,0,3,0,1,30,4
379,6,0,NA,0,7,0,1,70,40
380,3,0,NA,0,5,0,2,40,15
381,7,0,NA,0,7,0,3,NA,10
382,5,0,NA,0,4,0,3,32,10
383,2,0,NA,0,5,0,3,40,100
384,7,0,NA,0,6,0,1,NA,3
385,1,1,NA,0,4,0,2,40,15
386,3,0,NA,0,4,0,1,45,10
387,5,0,NA,0,5,0,1,72,84
388,2,0,NA,0,4,0,3,40,5
389,2,0,NA,0,4,0,1,40,70
390,1,0,NA,0,7,1,2,16,5
391,3,0,NA,0,5,0,3,20,6
392,5,0,NA,0,5,0,1,40,1
393,1,1,0,0,6,1,5,20,3
394,1,0,NA,0,7,1,2,3,3
395,3,1,NA,0,5,0,3,NA,NA
396,3,0,NA,0,5,1,3,50,6
397,4,1,NA,0,5,0,3,37.5,8
398,2,0,NA,0,5,0,3,42,3
399,4,1,0,0,5,0,2,35,10
400,7,0,NA,0,7,0,3,NA,20
401,7,0,NA,0,4,0,3,NA,2
402,4,0,NA,0,7,0,1,37.5,0
403,5,0,NA,0,7,0,2,NA,2
404,5,0,NA,0,1,0,2,20,24
405,3,0,NA,0,3,0,2,30,20
406,6,0,NA,0,7,0,1,40,2
407,3,1,NA,0,3,0,3,32.5,15
408,4,0,NA,0,1,0,1,40,20
409,2,0,NA,0,5,0,1,35,20
410,5,0,NA,0,3,0,1,NA,10
411,6,0,NA,0,3,0,1,NA,3
412,7,0,NA,0,7,0,3,NA,10
413,7,0,NA,0,5,0,3,NA,20
414,5,0,NA,0,7,0,2,37.5,NA
415,4,0,NA,0,3,0,1,35,10
416,1,0,NA,0,7,1,1,NA,100
417,5,0,NA,0,4,0,2,20,12
418,5,0,NA,0,1,0,2,60,10
419,1,0,NA,0,6,1,2,40,10
420,2,0,NA,0,5,0,1,NA,10
421,5,0,NA,0,4,0,1,40,6
422,5,0,NA,0,5,0,1,40,2
423,6,0,NA,0,2,0,2,NA,2
424,6,0,NA,0,4,0,2,37.5,25
425,5,0,NA,0,5,0,3,40,9
426,1,0,1,0,3,0,1,48,9
427,3,0,NA,0,4,0,3,35,3
428,3,1,NA,0,3,0,3,45,10
429,5,0,NA,0,1,0,1,30,5
430,4,0,NA,0,7,0,1,40,15
431,1,0,NA,0,6,0,2,12,5
432,6,0,NA,0,7,0,2,12,10
433,7,0,NA,0,4,0,2,NA,20
434,2,0,NA,0,5,0,3,NA,10
435,4,0,NA,0,3,0,3,60,5
436,7,0,NA,0,1,0,3,NA,NA
437,6,0,NA,0,4,0,3,NA,5
438,6,0,NA,0,5,0,3,NA,12
